
# Gift IDs and Original File Links

This table lists each gift ID from the **id-to-name.json** mapping on `cdn.changes.tg`, along with the corresponding gift name and a link to its **original** Lottie animation (`Original.json`). The link format follows the pattern `https://cdn.changes.tg/gifts/originals/<ID>/Original.json`.

| Gift Name | ID | Original JSON Link |
| --- | --- | --- |
| Artisan Brick | 6005797617768858105 | https://cdn.changes.tg/gifts/originals/6005797617768858105/Original.json |
| Astral Shard | 5933629604416717361 | https://cdn.changes.tg/gifts/originals/5933629604416717361/Original.json |
| B-Day Candle | 5782984811920491178 | https://cdn.changes.tg/gifts/originals/5782984811920491178/Original.json |
| Berry Box | 5882252952218894938 | https://cdn.changes.tg/gifts/originals/5882252952218894938/Original.json |
| Big Year | 6028283532500009446 | https://cdn.changes.tg/gifts/originals/6028283532500009446/Original.json |
| Bling Binky | 5902339509239940491 | https://cdn.changes.tg/gifts/originals/5902339509239940491/Original.json |
| Bonded Ring | 5870661333703197240 | https://cdn.changes.tg/gifts/originals/5870661333703197240/Original.json |
| Bow Tie | 5895544372761461960 | https://cdn.changes.tg/gifts/originals/5895544372761461960/Original.json |
| Bunny Muffin | 5935936766358847989 | https://cdn.changes.tg/gifts/originals/5935936766358847989/Original.json |
| Candy Cane | 6003373314888696650 | https://cdn.changes.tg/gifts/originals/6003373314888696650/Original.json |
| Chill Flame | 5999277561060787166 | https://cdn.changes.tg/gifts/originals/5999277561060787166/Original.json |
| Clover Pin | 5960747083030856414 | https://cdn.changes.tg/gifts/originals/5960747083030856414/Original.json |
| Cookie Heart | 6001538689543439169 | https://cdn.changes.tg/gifts/originals/6001538689543439169/Original.json |
| Crystal Ball | 5841336413697606412 | https://cdn.changes.tg/gifts/originals/5841336413697606412/Original.json |
| Cupid Charm | 5868561433997870501 | https://cdn.changes.tg/gifts/originals/5868561433997870501/Original.json |
| Desk Calendar | 5782988952268964995 | https://cdn.changes.tg/gifts/originals/5782988952268964995/Original.json |
| Diamond Ring | 5868503709637411929 | https://cdn.changes.tg/gifts/originals/5868503709637411929/Original.json |
| Durov's Cap | 5915521180483191380 | https://cdn.changes.tg/gifts/originals/5915521180483191380/Original.json |
| Easter Egg | 5773668482394620318 | https://cdn.changes.tg/gifts/originals/5773668482394620318/Original.json |
| Electric Skull | 5846192273657692751 | https://cdn.changes.tg/gifts/originals/5846192273657692751/Original.json |
| Eternal Candle | 5821205665758053411 | https://cdn.changes.tg/gifts/originals/5821205665758053411/Original.json |
| Eternal Rose | 5882125812596999035 | https://cdn.changes.tg/gifts/originals/5882125812596999035/Original.json |
| Evil Eye | 5825480571261813595 | https://cdn.changes.tg/gifts/originals/5825480571261813595/Original.json |
| Faith Amulet | 6003456431095808759 | https://cdn.changes.tg/gifts/originals/6003456431095808759/Original.json |
| Flying Broom | 5837063436634161765 | https://cdn.changes.tg/gifts/originals/5837063436634161765/Original.json |
| Fresh Socks | 5895603153683874485 | https://cdn.changes.tg/gifts/originals/5895603153683874485/Original.json |
| Gem Signet | 5859442703032386168 | https://cdn.changes.tg/gifts/originals/5859442703032386168/Original.json |
| Genie Lamp | 5933531623327795414 | https://cdn.changes.tg/gifts/originals/5933531623327795414/Original.json |
| Ginger Cookie | 5983484377902875708 | https://cdn.changes.tg/gifts/originals/5983484377902875708/Original.json |
| Hanging Star | 5915733223018594841 | https://cdn.changes.tg/gifts/originals/5915733223018594841/Original.json |
| Happy Brownie | 6006064678835323371 | https://cdn.changes.tg/gifts/originals/6006064678835323371/Original.json |
| Heart Locket | 5868455043362980631 | https://cdn.changes.tg/gifts/originals/5868455043362980631/Original.json |
| Heroic Helmet | 5895328365971244193 | https://cdn.changes.tg/gifts/originals/5895328365971244193/Original.json |
| Hex Pot | 5825801628657124140 | https://cdn.changes.tg/gifts/originals/5825801628657124140/Original.json |
| Holiday Drink | 6003735372041814769 | https://cdn.changes.tg/gifts/originals/6003735372041814769/Original.json |
| Homemade Cake | 5783075783622787539 | https://cdn.changes.tg/gifts/originals/5783075783622787539/Original.json |
| Hypno Lollipop | 5825895989088617224 | https://cdn.changes.tg/gifts/originals/5825895989088617224/Original.json |
| Ice Cream | 5900177027566142759 | https://cdn.changes.tg/gifts/originals/5900177027566142759/Original.json |
| Input Key | 5870972044522291836 | https://cdn.changes.tg/gifts/originals/5870972044522291836/Original.json |
| Instant Ramen | 6005564615793050414 | https://cdn.changes.tg/gifts/originals/6005564615793050414/Original.json |
| Ion Gem | 5843762284240831056 | https://cdn.changes.tg/gifts/originals/5843762284240831056/Original.json |
| Ionic Dryer | 5933937398953018107 | https://cdn.changes.tg/gifts/originals/5933937398953018107/Original.json |
| Jack-in-the-Box | 6005659564635063386 | https://cdn.changes.tg/gifts/originals/6005659564635063386/Original.json |
| Jelly Bunny | 5915502858152706668 | https://cdn.changes.tg/gifts/originals/5915502858152706668/Original.json |
| Jester Hat | 5933590374185435592 | https://cdn.changes.tg/gifts/originals/5933590374185435592/Original.json |
| Jingle Bells | 6001473264306619020 | https://cdn.changes.tg/gifts/originals/6001473264306619020/Original.json |
| Jolly Chimp | 6005880141270483700 | https://cdn.changes.tg/gifts/originals/6005880141270483700/Original.json |
| Joyful Bundle | 5870862540036113469 | https://cdn.changes.tg/gifts/originals/5870862540036113469/Original.json |
| Khabib's Papakha | 5839094187366024301 | https://cdn.changes.tg/gifts/originals/5839094187366024301/Original.json |
| Kissed Frog | 5845776576658015084 | https://cdn.changes.tg/gifts/originals/5845776576658015084/Original.json |
| Light Sword | 5897581235231785485 | https://cdn.changes.tg/gifts/originals/5897581235231785485/Original.json |
| Lol Pop | 5170594532177215681 | https://cdn.changes.tg/gifts/originals/5170594532177215681/Original.json |
| Loot Bag | 5868659926187901653 | https://cdn.changes.tg/gifts/originals/5868659926187901653/Original.json |
| Love Candle | 5915550639663874519 | https://cdn.changes.tg/gifts/originals/5915550639663874519/Original.json |
| Love Potion | 5868348541058942091 | https://cdn.changes.tg/gifts/originals/5868348541058942091/Original.json |
| Low Rider | 6014675319464657779 | https://cdn.changes.tg/gifts/originals/6014675319464657779/Original.json |
| Lunar Snake | 6028426950047957932 | https://cdn.changes.tg/gifts/originals/6028426950047957932/Original.json |
| Lush Bouquet | 5871002671934079382 | https://cdn.changes.tg/gifts/originals/5871002671934079382/Original.json |
| Mad Pumpkin | 5841632504448025405 | https://cdn.changes.tg/gifts/originals/5841632504448025405/Original.json |
| Magic Potion | 5846226946928673709 | https://cdn.changes.tg/gifts/originals/5846226946928673709/Original.json |
| Mighty Arm | 5895518353849582541 | https://cdn.changes.tg/gifts/originals/5895518353849582541/Original.json |
| Mini Oscar | 5879737836550226478 | https://cdn.changes.tg/gifts/originals/5879737836550226478/Original.json |
| Money Pot | 5963238670868677492 | https://cdn.changes.tg/gifts/originals/5963238670868677492/Original.json |
| Mood Pack | 5886756255493523118 | https://cdn.changes.tg/gifts/originals/5886756255493523118/Original.json |
| Moon Pendant | 5998981470310368313 | https://cdn.changes.tg/gifts/originals/5998981470310368313/Original.json |
| Mousse Cake | 5935877878062253519 | https://cdn.changes.tg/gifts/originals/5935877878062253519/Original.json |
| Nail Bracelet | 5870720080265871962 | https://cdn.changes.tg/gifts/originals/5870720080265871962/Original.json |
| Neko Helmet | 5933793770951673155 | https://cdn.changes.tg/gifts/originals/5933793770951673155/Original.json |
| Party Sparkler | 6003643167683903930 | https://cdn.changes.tg/gifts/originals/6003643167683903930/Original.json |
| Perfume Bottle | 5913517067138499193 | https://cdn.changes.tg/gifts/originals/5913517067138499193/Original.json |
| Pet Snake | 6023917088358269866 | https://cdn.changes.tg/gifts/originals/6023917088358269866/Original.json |
| Plush Pepe | 5936013938331222567 | https://cdn.changes.tg/gifts/originals/5936013938331222567/Original.json |
| Pool Float | 5832644211639321671 | https://cdn.changes.tg/gifts/originals/5832644211639321671/Original.json |
| Precious Peach | 5933671725160989227 | https://cdn.changes.tg/gifts/originals/5933671725160989227/Original.json |
| Pretty Posy | 5933737850477478635 | https://cdn.changes.tg/gifts/originals/5933737850477478635/Original.json |
| Rare Bird | 5999116401002939514 | https://cdn.changes.tg/gifts/originals/5999116401002939514/Original.json |
| Record Player | 5856973938650776169 | https://cdn.changes.tg/gifts/originals/5856973938650776169/Original.json |
| Restless Jar | 5870784783948186838 | https://cdn.changes.tg/gifts/originals/5870784783948186838/Original.json |
| Sakura Flower | 5167939598143193218 | https://cdn.changes.tg/gifts/originals/5167939598143193218/Original.json |
| Santa Hat | 5983471780763796287 | https://cdn.changes.tg/gifts/originals/5983471780763796287/Original.json |
| Scared Cat | 5837059369300132790 | https://cdn.changes.tg/gifts/originals/5837059369300132790/Original.json |
| Sharp Tongue | 5841689550203650524 | https://cdn.changes.tg/gifts/originals/5841689550203650524/Original.json |
| Signet Ring | 5936085638515261992 | https://cdn.changes.tg/gifts/originals/5936085638515261992/Original.json |
| Skull Flower | 5839038009193792264 | https://cdn.changes.tg/gifts/originals/5839038009193792264/Original.json |
| Sky Stilettos | 5870947077877400011 | https://cdn.changes.tg/gifts/originals/5870947077877400011/Original.json |
| Sleigh Bell | 5981026247860290310 | https://cdn.changes.tg/gifts/originals/5981026247860290310/Original.json |
| Snake Box | 6023679164349940429 | https://cdn.changes.tg/gifts/originals/6023679164349940429/Original.json |
| Snoop Cigar | 6012435906336654262 | https://cdn.changes.tg/gifts/originals/6012435906336654262/Original.json |
| Snoop Dogg | 6014591077976114307 | https://cdn.changes.tg/gifts/originals/6014591077976114307/Original.json |
| Snow Globe | 5981132629905245483 | https://cdn.changes.tg/gifts/originals/5981132629905245483/Original.json |
| Snow Mittens | 5980789805615678057 | https://cdn.changes.tg/gifts/originals/5980789805615678057/Original.json |
| Spiced Wine | 5913442287462908725 | https://cdn.changes.tg/gifts/originals/5913442287462908725/Original.json |
| Spring Basket | 5773725897517433693 | https://cdn.changes.tg/gifts/originals/5773725897517433693/Original.json |
| Spy Agaric | 5821261908354794038 | https://cdn.changes.tg/gifts/originals/5821261908354794038/Original.json |
| Star Notepad | 5936017773737018241 | https://cdn.changes.tg/gifts/originals/5936017773737018241/Original.json |
| Stellar Rocket | 6042113507581755979 | https://cdn.changes.tg/gifts/originals/6042113507581755979/Original.json |
| Swag Bag | 6012607142387778152 | https://cdn.changes.tg/gifts/originals/6012607142387778152/Original.json |
| Swiss Watch | 5936043693864651359 | https://cdn.changes.tg/gifts/originals/5936043693864651359/Original.json |
| Tama Gadget | 6023752243218481939 | https://cdn.changes.tg/gifts/originals/6023752243218481939/Original.json |
| Timeless Book | 5886387158889005864 | https://cdn.changes.tg/gifts/originals/5886387158889005864/Original.json |
| Top Hat | 5897593557492957738 | https://cdn.changes.tg/gifts/originals/5897593557492957738/Original.json |
| Toy Bear | 5868220813026526561 | https://cdn.changes.tg/gifts/originals/5868220813026526561/Original.json |
| Trapped Heart | 5841391256135008713 | https://cdn.changes.tg/gifts/originals/5841391256135008713/Original.json |
| UFC Strike | 5882260270843168924 | https://cdn.changes.tg/gifts/originals/5882260270843168924/Original.json |
| Valentine Box | 5868595669182186720 | https://cdn.changes.tg/gifts/originals/5868595669182186720/Original.json |
| Vice Cream | 5898012527257715797 | https://cdn.changes.tg/gifts/originals/5898012527257715797/Original.json |
| Victory Medal | 5830340739074097859 | https://cdn.changes.tg/gifts/originals/5830340739074097859/Original.json |
| Vintage Cigar | 5857140566201991735 | https://cdn.changes.tg/gifts/originals/5857140566201991735/Original.json |
| Voodoo Doll | 5836780359634649414 | https://cdn.changes.tg/gifts/originals/5836780359634649414/Original.json |
| Westside Sign | 6014697240977737490 | https://cdn.changes.tg/gifts/originals/6014697240977737490/Original.json |
| Whip Cupcake | 5933543975653737112 | https://cdn.changes.tg/gifts/originals/5933543975653737112/Original.json |
